ProductID,ProductName,Category,Price,Stock,DateAdded,SupplierID
P001,Laptop Pro X,Electronics,"$1,250.00",15,2023-01-15,S10
P002,Teclado Mecánico,Accesorios," $75.50 ",25,2023-01-20,S20
P003,Monitor Curvo 27",Electronics,350.00,10,2023-02-01,S10
P004,Mouse Gamer RGB,Accesorios,45.99,50,2023-02-10,S30
P005,Silla Ergonómica, Muebles ,220.00,,2023-03-05,S40
P006,Webcam HD Pro,Accesorios,65.00,30,2023-03-15,S20
P001,Laptop Pro X,Electronics,"$1,250.00",15,2023-01-15,S10
P007,SSD Externo 1TB,Almacenamiento,110.50,22,2023-04-01,S30
P008,Auriculares BT Pro,Accesorios,,40,2023-04-12,S20
P009,Mesa Escritorio,Muebles,180.00,8,2023-05-02,S40
P010,Impresora Laser,Impresoras," $210.99 ",12,2023-05-18,S50
P011,Smartphone Lite,electronics,499.99,18,2023-06-01,S10
P012,Foco Inteligente,Hogar Inteligente,15.50,100,2023-06-10,S60
P013,Router WiFi 6,Redes,95.00,28,2023-07-03,S30
P014,Tablet Basic 10",Electronics,199.99,20,2023-07-21,S10
P015,Smartwatch Fit,Wearables,130.00,35,2023-08-05,S20
P016,Power Bank 20k,Accesorios,49.99,60,2023-08-19,S30
P017,Cafetera Express,Hogar Inteligente,NaN,5,2023-09-01,S60
P018,Disco Duro 4TB,Almacenamiento,140.00,14,2023-09-14,S30
P019,Silla Ergonómica, Muebles ,220.00,7,2023-03-05,S40
P020,Monitor Curvo 27",Electronics,350.00,9,2023-02-01,S10
P021,Teclado Mecánico,Accesorios,75.50,24,2023-01-20,S20
P022,Producto Fantasma,Desconocido,9999.99,1,2024-01-01,S99 
